2026-02-25T00:31:53.752063 | BTCUSDT | WATCH | Flat | Score: -6.5
2026-02-25T04:38:05.317139 | BTCUSDT | WATCH | Flat | Score: -10.1
2026-02-25T04:38:05.318402 | ETHUSDT | WATCH | Flat | Score: -7.4
2026-02-25T04:38:05.319435 | BNBUSDT | WATCH | Flat | Score: 3.7
2026-02-25T04:48:05.317350 | BTCUSDT | WATCH | Flat | Score: -10.1
2026-02-25T04:48:05.318472 | ETHUSDT | WATCH | Flat | Score: -7.4
2026-02-25T04:48:05.319549 | BNBUSDT | WATCH | Flat | Score: 3.7
2026-02-25T04:58:05.314570 | BTCUSDT | WATCH | Flat | Score: -10.1
2026-02-25T04:58:05.315699 | ETHUSDT | WATCH | Flat | Score: -7.4
2026-02-25T04:58:05.316827 | BNBUSDT | WATCH | Flat | Score: 3.7
2026-02-25T05:08:05.528675 | BTCUSDT | WATCH | Flat | Score: -10.1
2026-02-25T05:08:05.529793 | ETHUSDT | WATCH | Flat | Score: -7.4
2026-02-25T05:08:05.530906 | BNBUSDT | WATCH | Flat | Score: 3.7
2026-02-25T05:18:05.340308 | BTCUSDT | WATCH | Flat | Score: -10.1
2026-02-25T05:18:05.341458 | ETHUSDT | WATCH | Flat | Score: -7.4
2026-02-25T05:18:05.342579 | BNBUSDT | WATCH | Flat | Score: 3.7
2026-02-25T05:28:05.146578 | BTCUSDT | WATCH | Flat | Score: -13.1
2026-02-25T05:28:05.147830 | ETHUSDT | WATCH | Flat | Score: -12.4
2026-02-25T05:28:05.149058 | BNBUSDT | WATCH | Flat | Score: -3.2
2026-02-25T05:38:06.224409 | BTCUSDT | WATCH | Flat | Score: -13.1
2026-02-25T05:38:06.225578 | ETHUSDT | WATCH | Flat | Score: -12.4
2026-02-25T05:38:06.226748 | BNBUSDT | WATCH | Flat | Score: -3.2
2026-02-25T05:48:05.349653 | BTCUSDT | WATCH | Flat | Score: -13.1
2026-02-25T05:48:05.351044 | ETHUSDT | WATCH | Flat | Score: -12.4
2026-02-25T05:48:05.352576 | BNBUSDT | WATCH | Flat | Score: -3.2
2026-02-25T05:58:05.160252 | BTCUSDT | WATCH | Flat | Score: -13.1
2026-02-25T05:58:05.161669 | ETHUSDT | WATCH | Flat | Score: -12.4
2026-02-25T05:58:05.162964 | BNBUSDT | WATCH | Flat | Score: -3.2
2026-02-25T06:08:05.125284 | BTCUSDT | WATCH | Flat | Score: -13.1
2026-02-25T06:08:05.126498 | ETHUSDT | WATCH | Flat | Score: -12.4
2026-02-25T06:08:05.127674 | BNBUSDT | WATCH | Flat | Score: -3.2
2026-02-25T06:18:05.523080 | BTCUSDT | WATCH | Flat | Score: -13.1
2026-02-25T06:18:05.524521 | ETHUSDT | WATCH | Flat | Score: -12.4
2026-02-25T06:18:05.525820 | BNBUSDT | WATCH | Flat | Score: -3.2
2026-02-25T06:28:05.213999 | BTCUSDT | WATCH | Flat | Score: -13.1
2026-02-25T06:28:05.215175 | ETHUSDT | WATCH | Flat | Score: -7.4
2026-02-25T06:28:05.216396 | BNBUSDT | WATCH | Flat | Score: -3.2
2026-02-25T06:38:05.170100 | BTCUSDT | WATCH | Flat | Score: -13.1
2026-02-25T06:38:05.171418 | ETHUSDT | WATCH | Flat | Score: -7.4
2026-02-25T06:38:05.172671 | BNBUSDT | WATCH | Flat | Score: -3.2
2026-02-25T06:48:05.913131 | BTCUSDT | WATCH | Flat | Score: -13.1
2026-02-25T06:48:05.914655 | ETHUSDT | WATCH | Flat | Score: -7.4
2026-02-25T06:48:05.915969 | BNBUSDT | WATCH | Flat | Score: -3.2
2026-02-25T06:58:05.376808 | BTCUSDT | WATCH | Flat | Score: -13.1
2026-02-25T06:58:05.378075 | ETHUSDT | WATCH | Flat | Score: -7.4
2026-02-25T06:58:05.379331 | BNBUSDT | WATCH | Flat | Score: -3.2
2026-02-25T07:08:05.233813 | BTCUSDT | WATCH | Flat | Score: -13.1
2026-02-25T07:08:05.235055 | ETHUSDT | WATCH | Flat | Score: -7.4
2026-02-25T07:08:05.236487 | BNBUSDT | WATCH | Flat | Score: -3.2
2026-02-25T07:18:05.758234 | BTCUSDT | WATCH | Flat | Score: -13.1
2026-02-25T07:18:05.759675 | ETHUSDT | WATCH | Flat | Score: -7.4
2026-02-25T07:18:05.761117 | BNBUSDT | WATCH | Flat | Score: -3.2
2026-02-25T07:28:06.092994 | BTCUSDT | WATCH | Flat | Score: -11.4
2026-02-25T07:28:06.094286 | ETHUSDT | WATCH | Flat | Score: -2.4
2026-02-25T07:28:06.095594 | BNBUSDT | WATCH | Flat | Score: 2.5
2026-02-25T07:38:05.285610 | BTCUSDT | WATCH | Flat | Score: -11.4
2026-02-25T07:38:05.286893 | ETHUSDT | WATCH | Flat | Score: -2.4
2026-02-25T07:38:05.288141 | BNBUSDT | WATCH | Flat | Score: 2.5
2026-02-25T07:48:05.220893 | BTCUSDT | WATCH | Flat | Score: -11.4
2026-02-25T07:48:05.222174 | ETHUSDT | WATCH | Flat | Score: -2.4
2026-02-25T07:48:05.223479 | BNBUSDT | WATCH | Flat | Score: 2.5
2026-02-25T07:58:05.275580 | BTCUSDT | WATCH | Flat | Score: -11.4
2026-02-25T07:58:05.276946 | ETHUSDT | WATCH | Flat | Score: -2.4
2026-02-25T07:58:05.278268 | BNBUSDT | WATCH | Flat | Score: 2.5
2026-02-25T08:08:05.269174 | BTCUSDT | WATCH | Flat | Score: -11.4
2026-02-25T08:08:05.270514 | ETHUSDT | WATCH | Flat | Score: -2.4
2026-02-25T08:08:05.271855 | BNBUSDT | WATCH | Flat | Score: 2.5
2026-02-25T08:18:05.594330 | BTCUSDT | WATCH | Flat | Score: -11.4
2026-02-25T08:18:05.595690 | ETHUSDT | WATCH | Flat | Score: -2.4
2026-02-25T08:18:05.597017 | BNBUSDT | WATCH | Flat | Score: 2.5
2026-02-25T08:28:05.181612 | BTCUSDT | WATCH | Flat | Score: -11.1
2026-02-25T08:28:05.183143 | ETHUSDT | WATCH | Flat | Score: -17.8
2026-02-25T08:28:05.184657 | BNBUSDT | WATCH | Flat | Score: -1.8
2026-02-25T08:38:05.447862 | BTCUSDT | WATCH | Flat | Score: -11.1
2026-02-25T08:38:05.449584 | ETHUSDT | WATCH | Flat | Score: -17.8
2026-02-25T08:38:05.451200 | BNBUSDT | WATCH | Flat | Score: -1.8
2026-02-25T08:48:05.276970 | BTCUSDT | WATCH | Flat | Score: -11.1
2026-02-25T08:48:05.278377 | ETHUSDT | WATCH | Flat | Score: -17.8
2026-02-25T08:48:05.279756 | BNBUSDT | WATCH | Flat | Score: -1.8
2026-02-25T08:58:05.305912 | BTCUSDT | WATCH | Flat | Score: -11.1
2026-02-25T08:58:05.307308 | ETHUSDT | WATCH | Flat | Score: -17.8
2026-02-25T08:58:05.311101 | BNBUSDT | WATCH | Flat | Score: -1.8
2026-02-25T09:08:10.772974 | BTCUSDT | WATCH | Flat | Score: -11.1
2026-02-25T09:08:10.774362 | ETHUSDT | WATCH | Flat | Score: -17.8
2026-02-25T09:08:10.775728 | BNBUSDT | WATCH | Flat | Score: -1.8
2026-02-25T09:18:05.681743 | BTCUSDT | WATCH | Flat | Score: -11.1
2026-02-25T09:18:05.683160 | ETHUSDT | WATCH | Flat | Score: -17.8
2026-02-25T09:18:05.684581 | BNBUSDT | WATCH | Flat | Score: -1.8
2026-02-25T09:28:05.839863 | BTCUSDT | WATCH | Flat | Score: -11.1
2026-02-25T09:28:05.841289 | ETHUSDT | WATCH | Flat | Score: -17.8
2026-02-25T09:28:05.842711 | BNBUSDT | WATCH | Flat | Score: -1.8
2026-02-25T09:38:05.513094 | BTCUSDT | WATCH | Flat | Score: 0.1
2026-02-25T09:38:05.514547 | ETHUSDT | WATCH | Flat | Score: 0.1
2026-02-25T09:38:05.516020 | BNBUSDT | WATCH | Flat | Score: 7.1
2026-02-25T09:48:05.799084 | BTCUSDT | WATCH | Flat | Score: 0.1
2026-02-25T09:48:05.800544 | ETHUSDT | WATCH | Flat | Score: 0.1
2026-02-25T09:48:05.801922 | BNBUSDT | WATCH | Flat | Score: 7.1
2026-02-25T09:58:05.752034 | BTCUSDT | WATCH | Flat | Score: 0.1
2026-02-25T09:58:05.753468 | ETHUSDT | WATCH | Flat | Score: 0.1
2026-02-25T09:58:05.754887 | BNBUSDT | WATCH | Flat | Score: 7.1
2026-02-25T10:08:05.592367 | BTCUSDT | WATCH | Flat | Score: 0.1
2026-02-25T10:08:05.593914 | ETHUSDT | WATCH | Flat | Score: 0.1
2026-02-25T10:08:05.595611 | BNBUSDT | WATCH | Flat | Score: 7.1
2026-02-25T10:18:05.788061 | BTCUSDT | WATCH | Flat | Score: 0.1
2026-02-25T10:18:05.789644 | ETHUSDT | WATCH | Flat | Score: 0.1
2026-02-25T10:18:05.791387 | BNBUSDT | WATCH | Flat | Score: 7.1
2026-02-25T10:28:05.740159 | BTCUSDT | WATCH | Flat | Score: 0.1
2026-02-25T10:28:05.741672 | ETHUSDT | WATCH | Flat | Score: 0.1
2026-02-25T10:28:05.743148 | BNBUSDT | WATCH | Flat | Score: 7.1
2026-02-25T10:38:05.932687 | BTCUSDT | WATCH | Flat | Score: 0.7
2026-02-25T10:38:05.934578 | ETHUSDT | WATCH | Flat | Score: 0.7
2026-02-25T10:38:05.936500 | BNBUSDT | WATCH | Flat | Score: 9.4
2026-02-25T10:48:05.894355 | BTCUSDT | WATCH | Flat | Score: 0.7
2026-02-25T10:48:05.895871 | ETHUSDT | WATCH | Flat | Score: 0.7
2026-02-25T10:48:05.897360 | BNBUSDT | WATCH | Flat | Score: 9.4
2026-02-25T10:58:05.818267 | BTCUSDT | WATCH | Flat | Score: 0.7
2026-02-25T10:58:05.819812 | ETHUSDT | WATCH | Flat | Score: 0.7
2026-02-25T10:58:05.821345 | BNBUSDT | WATCH | Flat | Score: 9.4
2026-02-25T11:08:05.695489 | BTCUSDT | WATCH | Flat | Score: 0.7
2026-02-25T11:08:05.697010 | ETHUSDT | WATCH | Flat | Score: 0.7
2026-02-25T11:08:05.698510 | BNBUSDT | WATCH | Flat | Score: 9.4
2026-02-25T11:18:05.624688 | BTCUSDT | WATCH | Flat | Score: 0.7
2026-02-25T11:18:05.626238 | ETHUSDT | WATCH | Flat | Score: 0.7
2026-02-25T11:18:05.627779 | BNBUSDT | WATCH | Flat | Score: 9.4
2026-02-25T11:28:05.828526 | BTCUSDT | WATCH | Flat | Score: 0.7
2026-02-25T11:28:05.830043 | ETHUSDT | WATCH | Flat | Score: 0.7
2026-02-25T11:28:05.831594 | BNBUSDT | WATCH | Flat | Score: 9.4
2026-02-25T11:38:06.091685 | BTCUSDT | WATCH | Flat | Score: -5.0
2026-02-25T11:38:06.093363 | ETHUSDT | WATCH | Flat | Score: -5.0
2026-02-25T11:38:06.095215 | BNBUSDT | WATCH | Flat | Score: 6.8
2026-02-25T11:48:05.653271 | BTCUSDT | WATCH | Flat | Score: -5.0
2026-02-25T11:48:05.654860 | ETHUSDT | WATCH | Flat | Score: -5.0
2026-02-25T11:48:05.656488 | BNBUSDT | WATCH | Flat | Score: 6.8
2026-02-25T11:58:05.866669 | BTCUSDT | WATCH | Flat | Score: -5.0
2026-02-25T11:58:05.868283 | ETHUSDT | WATCH | Flat | Score: -5.0
2026-02-25T11:58:05.869801 | BNBUSDT | WATCH | Flat | Score: 6.8
2026-02-25T12:08:06.708565 | BTCUSDT | WATCH | Flat | Score: -5.0
2026-02-25T12:08:06.710147 | ETHUSDT | WATCH | Flat | Score: -5.0
2026-02-25T12:08:06.711717 | BNBUSDT | WATCH | Flat | Score: 6.8
2026-02-25T12:18:05.815775 | BTCUSDT | WATCH | Flat | Score: -5.0
2026-02-25T12:18:05.817581 | ETHUSDT | WATCH | Flat | Score: -5.0
2026-02-25T12:18:05.819452 | BNBUSDT | WATCH | Flat | Score: 6.8
2026-02-25T12:28:05.721370 | BTCUSDT | WATCH | Flat | Score: -5.0
2026-02-25T12:28:05.723016 | ETHUSDT | WATCH | Flat | Score: -5.0
2026-02-25T12:28:05.724640 | BNBUSDT | WATCH | Flat | Score: 6.8
2026-02-25T12:38:05.705636 | BTCUSDT | WATCH | Flat | Score: -0.7
2026-02-25T12:38:05.707556 | ETHUSDT | WATCH | Flat | Score: -0.7
2026-02-25T12:38:05.709284 | BNBUSDT | WATCH | Flat | Score: 9.6
2026-02-25T12:48:05.611137 | BTCUSDT | WATCH | Flat | Score: -0.7
2026-02-25T12:48:05.612764 | ETHUSDT | WATCH | Flat | Score: -0.7
2026-02-25T12:48:05.614364 | BNBUSDT | WATCH | Flat | Score: 9.6
2026-02-25T12:58:05.898886 | BTCUSDT | WATCH | Flat | Score: -0.7
2026-02-25T12:58:05.900555 | ETHUSDT | WATCH | Flat | Score: -0.7
2026-02-25T12:58:05.902200 | BNBUSDT | WATCH | Flat | Score: 9.6
2026-02-25T13:08:05.494945 | BTCUSDT | WATCH | Flat | Score: -0.7
2026-02-25T13:08:05.496615 | ETHUSDT | WATCH | Flat | Score: -0.7
2026-02-25T13:08:05.498244 | BNBUSDT | WATCH | Flat | Score: 9.6
2026-02-25T13:18:07.535734 | BTCUSDT | WATCH | Flat | Score: -0.7
2026-02-25T13:18:07.537404 | ETHUSDT | WATCH | Flat | Score: -0.7
2026-02-25T13:18:07.539066 | BNBUSDT | WATCH | Flat | Score: 9.6
2026-02-25T13:28:05.800744 | BTCUSDT | WATCH | Flat | Score: -0.7
2026-02-25T13:28:05.802555 | ETHUSDT | WATCH | Flat | Score: -0.7
2026-02-25T13:28:05.804180 | BNBUSDT | WATCH | Flat | Score: 9.6
2026-02-25T13:48:06.449941 | BTCUSDT | WATCH | Flat | Score: -9.8
2026-02-25T13:48:06.451613 | ETHUSDT | WATCH | Flat | Score: -11.4
2026-02-25T13:48:06.453264 | BNBUSDT | WATCH | Flat | Score: -9.9
2026-02-25T13:58:05.740908 | BTCUSDT | WATCH | Flat | Score: -10.1
2026-02-25T13:58:05.742644 | ETHUSDT | WATCH | Flat | Score: -7.3
2026-02-25T13:58:05.744364 | BNBUSDT | WATCH | Flat | Score: -4.6
2026-02-25T14:08:05.933712 | BTCUSDT | WATCH | Flat | Score: -10.1
2026-02-25T14:08:05.935481 | ETHUSDT | WATCH | Flat | Score: -7.3
2026-02-25T14:08:05.937215 | BNBUSDT | WATCH | Flat | Score: -4.6
2026-02-25T14:18:05.878922 | BTCUSDT | WATCH | Flat | Score: -11.6
2026-02-25T14:18:05.880662 | ETHUSDT | WATCH | Flat | Score: -3.8
2026-02-25T14:18:05.882416 | BNBUSDT | WATCH | Flat | Score: 6.7
2026-02-25T14:28:05.778855 | BTCUSDT | WATCH | Flat | Score: -11.6
2026-02-25T14:28:05.780587 | ETHUSDT | WATCH | Flat | Score: -3.8
2026-02-25T14:28:05.782300 | BNBUSDT | WATCH | Flat | Score: 6.7
2026-02-25T14:38:05.882215 | BTCUSDT | WATCH | Flat | Score: -11.6
2026-02-25T14:38:05.883962 | ETHUSDT | WATCH | Flat | Score: -3.8
2026-02-25T14:38:05.885721 | BNBUSDT | WATCH | Flat | Score: 6.7
2026-02-25T14:48:05.970774 | BTCUSDT | WATCH | Flat | Score: -11.6
2026-02-25T14:48:05.972711 | ETHUSDT | WATCH | Flat | Score: -3.8
2026-02-25T14:48:05.974484 | BNBUSDT | WATCH | Flat | Score: 6.7
2026-02-25T14:58:05.716545 | BTCUSDT | WATCH | Flat | Score: -11.6
2026-02-25T14:58:05.718295 | ETHUSDT | WATCH | Flat | Score: -3.8
2026-02-25T14:58:05.720065 | BNBUSDT | WATCH | Flat | Score: 6.7
2026-02-25T15:08:05.904824 | BTCUSDT | WATCH | Flat | Score: -11.6
2026-02-25T15:08:05.906654 | ETHUSDT | WATCH | Flat | Score: -3.8
2026-02-25T15:08:05.908450 | BNBUSDT | WATCH | Flat | Score: 6.7
2026-02-25T15:18:05.860598 | BTCUSDT | WATCH | Flat | Score: -0.6
2026-02-25T15:18:05.862393 | ETHUSDT | WATCH | Flat | Score: -3.4
2026-02-25T15:18:05.864136 | BNBUSDT | WATCH | Flat | Score: 8.9
2026-02-25T15:38:05.234077 | BTCUSDT | WATCH | Flat | Score: -0.6
2026-02-25T15:38:05.235859 | ETHUSDT | WATCH | Flat | Score: -3.4
2026-02-25T15:38:05.237593 | BNBUSDT | WATCH | Flat | Score: 8.9
2026-02-25T15:48:05.220353 | BTCUSDT | WATCH | Flat | Score: -0.6
2026-02-25T15:48:05.222127 | ETHUSDT | WATCH | Flat | Score: -3.4
2026-02-25T15:48:05.223948 | BNBUSDT | WATCH | Flat | Score: 8.9
2026-02-25T15:58:06.033929 | BTCUSDT | WATCH | Flat | Score: -0.6
2026-02-25T15:58:06.036029 | ETHUSDT | WATCH | Flat | Score: -3.4
2026-02-25T15:58:06.038061 | BNBUSDT | WATCH | Flat | Score: 8.9
2026-02-25T16:08:05.751200 | BTCUSDT | WATCH | Flat | Score: -0.6
2026-02-25T16:08:05.753099 | ETHUSDT | WATCH | Flat | Score: -3.4
2026-02-25T16:08:05.754952 | BNBUSDT | WATCH | Flat | Score: 8.9
2026-02-25T16:28:05.663042 | BTCUSDT | WATCH | Flat | Score: 1.5
2026-02-25T16:28:05.664928 | ETHUSDT | WATCH | Flat | Score: 2.7
2026-02-25T16:28:05.666811 | BNBUSDT | WATCH | Flat | Score: 12.8
2026-02-25T16:48:06.130098 | BTCUSDT | WATCH | Flat | Score: 1.5
2026-02-25T16:48:06.131964 | ETHUSDT | WATCH | Flat | Score: 2.7
2026-02-25T16:48:06.133833 | BNBUSDT | WATCH | Flat | Score: 12.8
2026-02-25T16:58:10.443446 | BTCUSDT | WATCH | Flat | Score: 1.5
2026-02-25T16:58:10.445300 | ETHUSDT | WATCH | Flat | Score: 2.7
2026-02-25T16:58:10.447183 | BNBUSDT | WATCH | Flat | Score: 12.8
2026-02-25T17:08:30.988608 | BTCUSDT | WATCH | Flat | Score: 1.5
2026-02-25T17:08:30.990541 | ETHUSDT | WATCH | Flat | Score: 2.7
2026-02-25T17:08:30.992469 | BNBUSDT | WATCH | Flat | Score: 12.8
2026-02-25T17:18:05.791556 | BTCUSDT | WATCH | Flat | Score: 1.5
2026-02-25T17:18:05.793501 | ETHUSDT | WATCH | Flat | Score: 2.7
2026-02-25T17:18:05.795359 | BNBUSDT | WATCH | Flat | Score: 12.8
2026-02-25T17:28:08.488579 | BTCUSDT | WATCH | Flat | Score: 2.7
2026-02-25T17:28:08.490606 | ETHUSDT | WATCH | Flat | Score: 0.6
2026-02-25T17:28:08.492555 | BNBUSDT | WATCH | Flat | Score: 14.1
2026-02-25T17:38:08.778718 | BTCUSDT | WATCH | Flat | Score: 2.7
2026-02-25T17:38:08.780678 | ETHUSDT | WATCH | Flat | Score: 0.6
2026-02-25T17:38:08.782571 | BNBUSDT | WATCH | Flat | Score: 14.1
2026-02-25T17:48:06.177539 | BTCUSDT | WATCH | Flat | Score: 2.7
2026-02-25T17:48:06.179499 | ETHUSDT | WATCH | Flat | Score: 0.6
2026-02-25T17:48:06.181524 | BNBUSDT | WATCH | Flat | Score: 14.1
2026-02-25T17:58:05.637086 | BTCUSDT | WATCH | Flat | Score: 2.7
2026-02-25T17:58:05.639034 | ETHUSDT | WATCH | Flat | Score: 0.6
2026-02-25T17:58:05.641000 | BNBUSDT | WATCH | Flat | Score: 14.1
2026-02-25T18:08:05.604263 | BTCUSDT | WATCH | Flat | Score: 2.7
2026-02-25T18:08:05.606618 | ETHUSDT | WATCH | Flat | Score: 0.6
2026-02-25T18:08:05.608754 | BNBUSDT | WATCH | Flat | Score: 14.1
2026-02-25T18:18:07.012690 | BTCUSDT | WATCH | Flat | Score: 2.7
2026-02-25T18:18:07.014687 | ETHUSDT | WATCH | Flat | Score: 0.6
2026-02-25T18:18:07.017830 | BNBUSDT | WATCH | Flat | Score: 14.1
2026-02-25T18:28:05.863678 | BTCUSDT | WATCH | Flat | Score: -0.7
2026-02-25T18:28:05.865758 | ETHUSDT | WATCH | Flat | Score: 4.1
2026-02-25T18:28:05.867733 | BNBUSDT | WATCH | Flat | Score: 15.5
2026-02-25T18:38:44.209334 | BTCUSDT | WATCH | Flat | Score: -0.7
2026-02-25T18:38:44.211305 | ETHUSDT | WATCH | Flat | Score: 4.1
2026-02-25T18:38:44.213250 | BNBUSDT | WATCH | Flat | Score: 15.5
2026-02-25T18:39:04.217270 | BTCUSDT | WATCH | Flat | Score: -0.7
2026-02-25T18:39:04.219223 | ETHUSDT | WATCH | Flat | Score: 4.1
2026-02-25T18:39:04.221062 | BNBUSDT | WATCH | Flat | Score: 15.5
2026-02-25T18:39:19.139103 | BTCUSDT | WATCH | Flat | Score: -0.7
2026-02-25T18:39:19.141052 | ETHUSDT | WATCH | Flat | Score: 4.1
2026-02-25T18:39:19.142940 | BNBUSDT | WATCH | Flat | Score: 15.5
2026-02-25T18:39:33.822045 | BTCUSDT | WATCH | Flat | Score: -0.7
2026-02-25T18:39:33.824152 | ETHUSDT | WATCH | Flat | Score: 4.1
2026-02-25T18:39:33.826766 | BNBUSDT | WATCH | Flat | Score: 15.5
2026-02-25T18:48:05.645800 | BTCUSDT | WATCH | Flat | Score: -0.7
2026-02-25T18:48:05.647839 | ETHUSDT | WATCH | Flat | Score: 4.1
2026-02-25T18:48:05.649790 | BNBUSDT | WATCH | Flat | Score: 15.5
2026-02-25T18:58:05.658197 | BTCUSDT | WATCH | Flat | Score: -0.7
2026-02-25T18:58:05.660243 | ETHUSDT | WATCH | Flat | Score: 4.1
2026-02-25T18:58:05.662277 | BNBUSDT | WATCH | Flat | Score: 15.5
2026-02-25T19:38:06.533290 | BTCUSDT | WATCH | Flat | Score: -1.4
2026-02-25T19:38:06.535354 | ETHUSDT | WATCH | Flat | Score: 0.6
2026-02-25T19:38:06.537293 | BNBUSDT | WATCH | Flat | Score: 11.1
2026-02-25T19:48:09.647956 | BTCUSDT | WATCH | Flat | Score: -1.4
2026-02-25T19:48:09.650040 | ETHUSDT | WATCH | Flat | Score: 0.6
2026-02-25T19:48:09.652140 | BNBUSDT | WATCH | Flat | Score: 11.1
2026-02-25T19:58:05.974658 | BTCUSDT | WATCH | Flat | Score: -1.4
2026-02-25T19:58:05.976691 | ETHUSDT | WATCH | Flat | Score: 0.6
2026-02-25T19:58:05.978737 | BNBUSDT | WATCH | Flat | Score: 11.1
2026-02-25T20:08:06.062380 | BTCUSDT | WATCH | Flat | Score: -1.4
2026-02-25T20:08:06.064417 | ETHUSDT | WATCH | Flat | Score: 0.6
